A***o| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 06 Jul 2019 10:23|width:100%;|Посылка пришла на удивление быстро. Всё целое, всё работает. Хлипковатое конечно, но телефон держит крепко.|
E***v| https://www.aliexpress.com/item/-/33018170507.html|33018170507| 04 Jul 2019 13:25|width:100%;||
R***a| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 13:09|width:20%;|The product came with scratches, it seemed to have already been used.|
F***n| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 04 Jul 2019 13:00|width:80%;||
A***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 12:57|width:100%;||
B***i| https://www.aliexpress.com/item/-/32909704204.html|32909704204| 04 Jul 2019 11:50|width:100%;||
E***a| https://www.aliexpress.com/item/-/32970973907.html|32970973907| 04 Jul 2019 11:41|width:100%;||
W***n | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 11:39|width:100%;||
D***u| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 11:20|width:100%;||
R***l | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 11:06|width:80%;||
R***v| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 10:14|width:100%;||
W***m | https://www.aliexpress.com/item/-/32876951158.html|32876951158| 04 Jul 2019 09:41|width:80%;||
V***v| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 04 Jul 2019 09:19|width:100%;|всё работает,спасибо|
V***v| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 04 Jul 2019 09:16|width:60%;|Посылку доставили где-то за месяц, все работает только при прослушивании музыки присутствуют посторонние шумы, которые очень портят качество звучания(((|
S***l| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 08:08|width:100%;||
N***a| https://www.aliexpress.com/item/-/32909704204.html|32909704204| 04 Jul 2019 07:05|width:100%;||
A***v| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 04 Jul 2019 06:26|width:100%;||
A***v| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 04 Jul 2019 06:26|width:100%;||
H***i| https://www.aliexpress.com/item/-/32970388345.html|32970388345| 04 Jul 2019 05:54|width:100%;||
S***S| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 05:46|width:100%;|quality was good|
B***i| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 04 Jul 2019 05:34|width:100%;||
i***a | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 05:30|width:100%;||
A***s | https://www.aliexpress.com/item/-/32874642353.html|32874642353| 04 Jul 2019 05:23|width:100%;||
V***e | https://www.aliexpress.com/item/-/32919126852.html|32919126852| 04 Jul 2019 02:17|width:100%;||
L***s| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 04 Jul 2019 02:01|width:80%;||
f***o| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 00:59|width:100%;|Good product, at a fair price|
C***s| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 00:38|width:100%;||
M***o| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 00:21|width:100%;||
l***s| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 04 Jul 2019 00:05|width:20%;|both of the holders we ordered broke upon first use. very bad quality. the screw barely worked too|
R***k | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 00:00|width:100%;||
M***i| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 04 Jul 2019 00:00|width:100%;|Refound, thanks, package missed|
t***s| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 03 Jul 2019 23:27|width:100%;|vendedor bueno|
Y***k| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 23:25|width:100%;|Штука прикольная, держалочки прорезинены. По размеру вроде как даже впихивается мой mi max 2, а он 5.5". Единственное, на ваз десятку на старую панель не подошла, потому что форма панели немного мутная... А так на ровную панель прям шикарно должна встать)|
E***n | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 23:07|width:60%;|Didn’t come|
A***v| https://www.aliexpress.com/item/-/32970388345.html|32970388345| 03 Jul 2019 23:04|width:100%;|Спасибо, работает хорошо!|
S***r| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 03 Jul 2019 21:49|width:80%;||
Z***i| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 21:46|width:100%;||
H***l| https://www.aliexpress.com/item/-/32926097679.html|32926097679| 03 Jul 2019 21:41|width:100%;|Надійшло за 3 неділі. гарно запаковано, все ціле, відповідає опису. гарно установлюється, телефон тримає відмінно. рекомендую продавця та товар.|
O***.| https://www.aliexpress.com/item/-/32950850475.html|32950850475| 03 Jul 2019 21:11|width:80%;||
d***e| https://www.aliexpress.com/item/-/33015491410.html|33015491410| 03 Jul 2019 20:48|width:80%;|Dans l'ensemble bonne caméra.|
P***r| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 03 Jul 2019 18:04|width:100%;||
E***c| https://www.aliexpress.com/item/-/33012572197.html|33012572197| 03 Jul 2019 15:42|width:100%;|Me encanta ! Tiene buena calidad y lo he recibido súper rápido|
E***c| https://www.aliexpress.com/item/-/33012572197.html|33012572197| 03 Jul 2019 15:42|width:100%;|Me encanta ! Tiene buena calidad y lo he recibido súper rápido|
M***n| https://www.aliexpress.com/item/-/32990168748.html|32990168748| 03 Jul 2019 15:37|width:80%;|Works fine. Please note that the item is plastic. I expected it to be metal. No problem.|
M***o| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 14:10|width:40%;|El producto no es de buena calidad, cuesta trabajo que el celular caiga en su lugar y ademas el clip se cierra solo sin poder ser colocado el tablero de mi dodge Neon 2005. No me sirvió para nada|
S***i | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 13:46|width:100%;||
P***k| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 03 Jul 2019 13:44|width:80%;||
a***s| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 13:34|width:80%;||
O***v| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 03 Jul 2019 12:51|width:100%;||
U***v| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 03 Jul 2019 12:46|width:100%;||
D***a| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 12:31|width:100%;||
s***u| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 03 Jul 2019 11:56|width:80%;||
J***a | https://www.aliexpress.com/item/-/32876951158.html|32876951158| 03 Jul 2019 11:50|width:100%;|В Ярославль шло долго 42 дня.|
H***n | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 11:34|width:100%;||
H***p | https://www.aliexpress.com/item/-/32874642353.html|32874642353| 03 Jul 2019 11:12|width:80%;||
J***k| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 10:37|width:100%;||
D***c| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 10:33|width:100%;||
G***r| https://www.aliexpress.com/item/-/32950850475.html|32950850475| 03 Jul 2019 10:08|width:80%;||
S***d| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 10:08|width:100%;||
P***o | https://www.aliexpress.com/item/-/32874642353.html|32874642353| 03 Jul 2019 10:00|width:100%;||
J***s| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 03 Jul 2019 09:37|width:100%;|Great|
E***s | https://www.aliexpress.com/item/-/32876951158.html|32876951158| 03 Jul 2019 09:29|width:100%;||
E***s | https://www.aliexpress.com/item/-/32876951158.html|32876951158| 03 Jul 2019 09:29|width:100%;||
M***a| https://www.aliexpress.com/item/-/33006655957.html|33006655957| 03 Jul 2019 09:14|width:80%;||
I***i| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 03 Jul 2019 09:05|width:80%;||
T***k| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 03 Jul 2019 08:50|width:100%;||
D***a| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 03 Jul 2019 08:24|width:100%;||
s***n| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 03 Jul 2019 07:54|width:100%;|top product|
A***a| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 03 Jul 2019 07:41|width:80%;||
d***d| https://www.aliexpress.com/item/-/33012572197.html|33012572197| 03 Jul 2019 07:40|width:100%;||
A***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 06:41|width:100%;|Fin handel så +++++++++++++++ her fra|
O***o| https://www.aliexpress.com/item/-/32950850475.html|32950850475| 03 Jul 2019 05:57|width:100%;|Супер|
J***y| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 05:47|width:100%;||
a***a| https://www.aliexpress.com/item/-/32950850475.html|32950850475| 03 Jul 2019 05:43|width:100%;||
L***l | https://www.aliexpress.com/item/-/32856844088.html|32856844088| 03 Jul 2019 04:02|width:80%;||
J***k| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 03:32|width:100%;||
R***s| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 03:31|width:100%;||
B***s| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 03:07|width:100%;|Thank You! :)|
L***f| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 03 Jul 2019 02:41|width:100%;||
p***p| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 03 Jul 2019 02:40|width:100%;|Отличная подставка|
V***c| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 03 Jul 2019 02:31|width:100%;|Exellent|
W***l | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 02:18|width:100%;||
I***i| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 03 Jul 2019 02:12|width:100%;||
G***L| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 01:32|width:100%;|as described|
d***d| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 03 Jul 2019 00:50|width:100%;|Денег своих стоит, пришло всё целое и быстро|
E***z| https://www.aliexpress.com/item/-/32917722489.html|32917722489| 03 Jul 2019 00:16|width:100%;||
R***v| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 02 Jul 2019 23:43|width:100%;||
R***v| https://www.aliexpress.com/item/-/32923859223.html|32923859223| 02 Jul 2019 23:42|width:100%;||
I***V| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 23:39|width:60%;|Die Lieferungszeit war in Ordnung. Verpackung ebenfalls in Ordnung. Zu dem Produkt kann ich leider nichts positives schreiben, da die Qualität dem Preis entspricht. Also für Spottpreis darf man sich nichts erwarten. Kommunikation: keine, da von Bestellung bis Lieferung alles ok war.|
g***r| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 02 Jul 2019 22:15|width:100%;||
S***n| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 02 Jul 2019 22:04|width:100%;|за свою цену товар превосходит все ожидания. с телефоном связывается сразу и без проблем. радиосигнал без помех, функцию зарядки пока не проверял. очень доволен приобретением. посмотрим сколько проработает.|
A***l| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 22:02|width:100%;||
A***l| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 22:02|width:100%;||
W***i| https://www.aliexpress.com/item/-/33012572197.html|33012572197| 02 Jul 2019 21:55|width:100%;||
V***a | https://www.aliexpress.com/item/-/32874642353.html|32874642353| 02 Jul 2019 18:03|width:100%;||
A***v | https://www.aliexpress.com/item/-/32950850475.html|32950850475| 02 Jul 2019 18:00|width:100%;||
A***v| https://www.aliexpress.com/item/-/32950850475.html|32950850475| 02 Jul 2019 17:15|width:100%;||
B***y| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 16:47|width:100%;||
W***e| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 15:54|width:100%;||
D***v| https://www.aliexpress.com/item/-/32950850475.html|32950850475| 02 Jul 2019 14:22|width:80%;|Отсутствует стандартная магнитная сцепка между сгибающимися частями. Стоит не очень надежно.|
J***y| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 13:47|width:100%;||
J***y| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 13:47|width:100%;||
J***y| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 13:47|width:100%;||
J***y| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 13:47|width:100%;||
s***z| https://www.aliexpress.com/item/-/32923859223.html|32923859223| 02 Jul 2019 13:18|width:100%;|de momento funciona muy bien estoy contento con la compra,y no se calienta nada esta 12 horas al día conectado|
V***o| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 13:10|width:100%;||
J***o| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 02 Jul 2019 13:06|width:100%;|доставка от 2до 3 недель.Визуально все ОК.еще не установили,главное вовремя прибыл держатель,как раз едим в отпуск на машине.Вроде крепкий.|
U***r | https://www.aliexpress.com/item/-/32856617913.html|32856617913| 02 Jul 2019 12:24|width:100%;||
Y***v| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 12:16|width:80%;||
c***c| https://www.aliexpress.com/item/-/32960780064.html|32960780064| 02 Jul 2019 11:14|width:100%;||
K***a| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 02 Jul 2019 11:04|width:100%;||
B***e | https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 10:58|width:100%;||
M***n| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 02 Jul 2019 10:49|width:100%;||
t***n| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 02 Jul 2019 10:44|width:100%;|מעולה לאוטו לנסיעות|
t***t| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 02 Jul 2019 10:43|width:100%;|ok|
T***m| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 02 Jul 2019 10:35|width:20%;|Fiat 500 kan het nergens aan vastgezet worden|
E***v| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 10:14|width:60%;|Доставка до МО 27 дней. Качество хлипкое. Все дребезжит. Раздвигается до довольно больших размеров. Проверим на сколько хвалит.|
d***n| https://www.aliexpress.com/item/-/32911738915.html|32911738915| 02 Jul 2019 10:11|width:100%;||
v***f | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 08:41|width:100%;||
K***s| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 08:38|width:100%;|All ok !|
B***r | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 08:19|width:80%;||
N***o| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 07:34|width:80%;||
S***N| https://www.aliexpress.com/item/-/32990168748.html|32990168748| 02 Jul 2019 07:29|width:100%;||
M***a| https://www.aliexpress.com/item/-/32926097679.html|32926097679| 02 Jul 2019 07:09|width:100%;|Przydatne i wygodne. Polecam.|
R***p| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 07:02|width:100%;||
J***t| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 02 Jul 2019 06:41|width:80%;||
G***s| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 05:22|width:100%;||
K***t| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 05:20|width:100%;||
I***i| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 05:10|width:20%;|המוצר הגיע שבור|
F***a| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 05:03|width:80%;||
a***i| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 03:38|width:100%;||
v***s| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 03:37|width:100%;|Очень хорошая штука. Советую!|
N***d| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 03:29|width:40%;|الاصق غير جيد De sticker is niet goed|
m***a| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 02 Jul 2019 03:21|width:100%;||
d***s| https://www.aliexpress.com/item/-/32950850475.html|32950850475| 02 Jul 2019 03:09|width:100%;|Super fast shipping,very good case.recommended 100%|
f***r| https://www.aliexpress.com/item/-/32952623117.html|32952623117| 02 Jul 2019 02:32|width:100%;|Доставили быстро. Товар соответствует описанию. Ipad6 не вставляется. (|
p***k| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 02:30|width:100%;|good!|
k***k| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 02 Jul 2019 01:36|width:100%;||
S***v| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 02 Jul 2019 01:27|width:100%;||
Y***H| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 01:18|width:100%;|GOOD QUALITY AND GOOD SELLER|
P***o| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 02 Jul 2019 00:46|width:60%;|It came intact, very well packed. But the thing itself is not very well crafted. It might be more suitable for a bicycle, not a motorcycle. It almost came apart and at one point or stopped working. I took it off, I will be looking for something different. Not worth it!|
A***n | https://www.aliexpress.com/item/-/32919126852.html|32919126852| 02 Jul 2019 00:36|width:100%;||
v***s | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 02 Jul 2019 00:22|width:100%;||
L***c| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 02 Jul 2019 00:19|width:100%;||
O***v| https://www.aliexpress.com/item/-/32909704204.html|32909704204| 01 Jul 2019 21:38|width:100%;||
S***v| https://www.aliexpress.com/item/-/32926097679.html|32926097679| 01 Jul 2019 19:39|width:100%;|удобный, держит надёжно|
R***r| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 01 Jul 2019 19:25|width:100%;||
S***c| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 15:20|width:100%;|Very professional and fast. Thank you.|
D***o| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 14:03|width:100%;||
A***m| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 01 Jul 2019 13:04|width:80%;||
N***c| https://www.aliexpress.com/item/-/32990168748.html|32990168748| 01 Jul 2019 12:52|width:100%;||
A***v| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 12:37|width:100%;||
K***a| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 01 Jul 2019 12:07|width:100%;||
