M***o|SK|width:100%|Plug Type: Black|Logistics: China Post Registered Air Mail|Very good quality, usb c plug, both watch and iphone x work perfectly. Came to me within 12 days! Must recommend!|05 Dec 2018 05:08|||['https://ae01.alicdn.com/kf/UTB8L4ETFSnEXKJk43Ubq6zLppXaE.jpg', 'https://ae01.alicdn.com/kf/UTB894m5FtoSdeJk43Owq6ya4XXaX.jpg', 'https://ae01.alicdn.com/kf/UTB8CJaQFwQydeJk43PUq6AyQpXaJ.jpg']
R***r|UK|width:100%|Plug Type: Black|Logistics: One World Express|The product quality is excellent, the shipping speed was great.. can’t go wrong with the price.|29 Nov 2018 23:32|||[]
D***e|CL|width:100%|Plug Type: Black|Logistics: USPS|Nice product! I’m charging my Apple Watch and my iPhone XS. Really Fast Delivery!|30 Nov 2018 05:18|||[]
H***s|DE|width:100%|Plug Type: White|Logistics: China Post Registered Air Mail|Works as described, charging of Apple Watch 4 works, but double the charging time to the original charger. iPhone charging works very well.|04 Nov 2018 16:13|||[]
A***j|RU|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping|It's fast, all works, heated in the normal range. Look carefully.|15 Nov 2018 21:44|||[]
B***e|KR|width:100%|Plug Type: White|Logistics: China Post Registered Air Mail|good! I got 2. 1 is OK! but 2 was led broken.|24 Oct 2018 02:30|||[]
A***h|SA|width:100%|Plug Type: White Pad|Logistics: Aliexpress Direct|Awesome|09 Dec 2018 07:27|||[]
J***l|ES|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping|Such which described and works nicely.|16 Sep 2018 20:59|To charge the first week, from there not loaded the Apple Watch. Thinking it was the transformer, buy the original DCAE, and follows the same trouble.|19 Nov 2018 15:23|[]
G***s|BR|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping|good buyer , recommend for all|20 Oct 2018 10:47|||[]
B***k|FR|width:80%|Plug Type: White Pad|Logistics: AliExpress Standard Shipping|A air work well a see time|28 Sep 2018 08:46|||[]
D***t|AU|width:100%|Plug Type: White Pad|Logistics: China Post Registered Air Mail|Great product|04 Dec 2018 11:50|||[]
AliExpress Shopper|KR|width:100%|Plug Type: Black|Logistics: China Post Registered Air Mail|Fast delivery summer.|23 Nov 2018 15:18|||[]
Y***l|CH|width:20%|Plug Type: Black|Logistics: China Post Registered Air Mail|This seller is not honest, I am fake shipment number.|28 Sep 2018 15:03|||[]
C***e|FR|width:20%|Plug Type: White|Logistics: AliExpress Standard Shipping|Charge phone s'arrête and restart constantly! Therefore, the phone rings or vibrate whenever the load restart,|13 Oct 2018 02:23|||[]
AliExpress Shopper|RU|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||11 Dec 2018 07:24|||[]
A***i|IT|width:100%|Plug Type: White Pad|Logistics: China Post Registered Air Mail||11 Dec 2018 01:48|||[]
S***a|RU|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||12 Dec 2018 13:09|||[]
J***m|KR|width:100%|Plug Type: White|Logistics: China Post Registered Air Mail||12 Dec 2018 23:37|||[]
V***.|UK|width:100%|Plug Type: White|Logistics: China Post Registered Air Mail||13 Oct 2018 06:24|||['https://ae01.alicdn.com/kf/UTB8v5FzjYnJXKJkSahGq6xhzFXah.jpg', 'https://ae01.alicdn.com/kf/UTB8SrBDj0nJXKJkSaiyq6AhwXXah.jpg']
R***p|NL|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping||10 Dec 2018 06:10|||[]
T***y|CZ|width:100%|Plug Type: Black|Logistics: China Post Registered Air Mail||14 Nov 2018 03:00|||[]
L***o|ES|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||13 Nov 2018 22:27|||[]
E***o|ES|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||02 Dec 2018 08:13|||[]
Y***u|BY|width:100%|Plug Type: Black|Logistics: China Post Registered Air Mail||24 Nov 2018 02:27|||[]
G***r|PL|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||15 Nov 2018 04:02|||[]
A***v|RU|width:100%|Plug Type: White Pad|Logistics: AliExpress Standard Shipping||01 Dec 2018 04:02|||[]
O***m|KR|width:100%|Plug Type: White|Logistics: China Post Registered Air Mail||13 Nov 2018 21:00|||[]
S***v|RU|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping||06 Dec 2018 23:10|||[]
G***d|RU|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||08 Dec 2018 07:23|||[]
AliExpress Shopper|US|width:100%|Plug Type: White|Logistics: China Post Registered Air Mail||07 Dec 2018 00:43|||[]
E***o|RU|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping||27 Nov 2018 21:27|||[]
Y***r|IL|width:100%|Plug Type: Black|Logistics: China Post Registered Air Mail||21 Nov 2018 01:24|||[]
C***m|CH|width:100%|Plug Type: Black|Logistics: China Post Registered Air Mail||15 Nov 2018 13:39|||[]
A***v|RU|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping||03 Dec 2018 20:27|||[]
AliExpress Shopper|NL|width:80%|Plug Type: White|Logistics: AliExpress Standard Shipping||05 Dec 2018 12:14|||[]
W***w|PL|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping||30 Nov 2018 08:46|||[]
L***s|ES|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||17 Oct 2018 03:22|||[]
V***n|RU|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||28 Oct 2018 04:03|||[]
M***r|MV|width:100%|Plug Type: White|Logistics: China Post Registered Air Mail||06 Dec 2018 00:05|||[]
M***n|AU|width:100%|Plug Type: Black|Logistics: ePacket||06 Dec 2018 12:19|||[]
G***z|ES|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||08 Oct 2018 15:29|||[]
J***i|IL|width:100%|Plug Type: Black|Logistics: ePacket||24 Oct 2018 07:17|||[]
AliExpress Shopper|LU|width:100%|Plug Type: White|Logistics: China Post Registered Air Mail||27 Oct 2018 04:02|||[]
A***n|RU|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping||05 Nov 2018 11:45|||[]
M***v|RU|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||01 Nov 2018 04:17|||[]
M***m|CH|width:100%|Plug Type: Black|Logistics: China Post Registered Air Mail||25 Oct 2018 13:06|||[]
E***i|IT|width:100%|Plug Type: White Pad|Logistics: China Post Registered Air Mail||04 Oct 2018 03:46|||[]
N***e|NL|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping||17 Oct 2018 12:22|||[]
I***s|NL|width:80%|Plug Type: Black|Logistics: AliExpress Standard Shipping||17 Oct 2018 06:12|||[]
A***o|US|width:100%|Plug Type: Black|Logistics: ePacket||16 Oct 2018 12:06|||[]
K***a|RU|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||12 Nov 2018 23:30|||[]
H***n|NL|width:80%|Plug Type: Black|Logistics: AliExpress Standard Shipping||08 Nov 2018 10:41|||[]
N***a|NL|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping||05 Nov 2018 10:14|||[]
R***w|NL|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping||31 Oct 2018 13:09|||[]
A***E|FR|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping||10 Nov 2018 12:01|||[]
J***j|CZ|width:100%|Plug Type: White Pad|Logistics: China Post Registered Air Mail||18 Oct 2018 10:46|||[]
A***n|IN|width:100%|Plug Type: White|Logistics: China Post Registered Air Mail||22 Oct 2018 08:33|Good product, charges iPhone 8 and Apple Watch 3|22 Oct 2018 08:34|[]
C***n|TW|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping||23 Oct 2018 19:54|||[]
S***n|NO|width:100%|Plug Type: White|Logistics: China Post Registered Air Mail||05 Nov 2018 04:03|||[]
AliExpress Shopper|LT|width:100%|Plug Type: Black|Logistics: China Post Registered Air Mail||08 Nov 2018 10:41|||[]
R***U|FR|width:100%|Plug Type: White|Logistics: AliExpress Standard Shipping||06 Nov 2018 07:16|||[]
G***n|NL|width:100%|Plug Type: Black|Logistics: AliExpress Standard Shipping|Good device, exactly as described. Remember to buy a proper fit to your country electricity plug !! This is not included|16 Oct 2018 23:12|||[]
C***n|TW|width:100%|Plug Type: White Pad|Logistics: AliExpress Standard Shipping||23 Oct 2018 19:54|||[]
